client_id,event_type,event_start,event_end
180,0,695082,696059
180,1,696059,696959
180,0,696959,697184
180,1,697184,720000
180,0,720000,777600
180,1,777600,797707
180,0,797707,798274
180,1,798274,806400
180,0,806400,1036800
180,1,1036800,1065600
162,1,0,0
162,0,0,27518
162,1,27518,28418
162,0,28418,28777
162,1,28777,28800
162,0,28800,176529
162,1,176529,177429
162,0,177429,182368
162,1,182368,187082
162,0,187082,200373
162,1,200373,201600
162,0,201600,459696
162,1,459696,460800
162,0,460800,519544
162,1,519544,520444
162,0,520444,545834
162,1,545834,547200
162,0,547200,604800
162,1,604800,605299
162,0,605299,618243
162,1,618243,621689
162,0,621689,626114
162,1,626114,627014
162,0,627014,632644
162,1,632644,633600
162,0,633600,710618
162,1,710618,711555
162,0,711555,719131
162,1,719131,720000
162,0,720000,783584
162,1,783584,784484
162,0,784484,787616
162,1,787616,790401
162,0,790401,795807
162,1,795807,799921
162,0,799921,805273
162,1,805273,806400
162,0,806400,1064456
162,1,1064456,1065600
128,1,0,0
128,0,0,20698
128,1,20698,24488
128,0,24488,28800
128,1,28800,86400
128,0,86400,90825
128,1,90825,92738
128,0,92738,115200
128,1,115200,201600
128,0,201600,432000
128,1,432000,440640
128,0,440640,450610
128,1,450610,454326
128,0,454326,460800
128,1,460800,520811
128,0,520811,543947
128,1,543947,545362
128,0,545362,546299
128,1,546299,547200
128,0,547200,604800
128,1,604800,607875
128,0,607875,610611
128,1,610611,611511
128,0,611511,611639
128,1,611639,612738
128,0,612738,630650
128,1,630650,633420
128,0,633420,633600
128,1,633600,693237
128,0,693237,694068
128,1,694068,694968
128,0,694968,695945
128,1,695945,696845
128,0,696845,707236
128,1,707236,708136
128,0,708136,708509
128,1,708509,711338
128,0,711338,720000
128,1,720000,797778
128,0,797778,798068
128,1,798068,806400
128,0,806400,1036800
128,1,1036800,1043075
128,0,1043075,1050690
128,1,1050690,1055315
128,0,1055315,1065600
76,1,0,0
76,0,0,19896
76,1,19896,20796
76,0,20796,20987
76,1,20987,22809
76,0,22809,23175
76,1,23175,27023
76,0,27023,27161
76,1,27161,28800
76,0,28800,90766
76,1,90766,91666
76,0,91666,91903
76,1,91903,92803
76,0,92803,115200
76,1,115200,201600
76,0,201600,432000
76,1,432000,460800
76,0,460800,518400
76,1,518400,547200
76,0,547200,604800
76,1,604800,629426
76,0,629426,630472
76,1,630472,633600
76,0,633600,691428
76,1,691428,693291
76,0,693291,694062
76,1,694062,694962
76,0,694962,695940
76,1,695940,696840
76,0,696840,697066
76,1,697066,717076
76,0,717076,717592
76,1,717592,720000
76,0,720000,777600
76,1,777600,806400
76,0,806400,1036800
76,1,1036800,1065600
92,1,0,0
92,0,0,19458
92,1,19458,20358
92,0,20358,20659
92,1,20659,23477
92,0,23477,23619
92,1,23619,28800
92,0,28800,90776
92,1,90776,91676
92,0,91676,91914
92,1,91914,92814
92,0,92814,115200
92,1,115200,201600
92,0,201600,432000
92,1,432000,454709
92,0,454709,454851
92,1,454851,460800
92,0,460800,518400
92,1,518400,530207
92,0,530207,530354
92,1,530354,547200
92,0,547200,604800
92,1,604800,629929
92,0,629929,631633
92,1,631633,633600
92,0,633600,691200
92,1,691200,692364
92,0,692364,720000
116,1,0,0
116,0,0,19841
116,1,19841,28800
116,0,28800,90522
116,1,90522,91422
116,0,91422,92153
116,1,92153,93053
116,0,93053,115200
116,1,115200,201600
116,0,201600,432000
116,1,432000,452011
116,0,452011,452169
116,1,452169,460800
116,0,460800,518400
116,1,518400,547200
116,0,547200,604800
116,1,604800,633600
116,0,633600,691200
116,1,691200,693234
116,0,693234,694064
116,1,694064,694964
116,0,694964,695941
116,1,695941,696841
116,0,696841,697070
116,1,697070,720000
116,0,720000,777600
116,1,777600,806400
116,0,806400,1036800
116,1,1036800,1065600
125,1,0,0
125,0,0,21042
125,1,21042,25682
125,0,25682,25879
125,1,25879,27735
125,0,27735,27939
125,1,27939,28800
125,0,28800,172800
125,1,172800,174316
125,0,174316,180683
125,1,180683,182542
125,0,182542,185722
125,1,185722,187543
125,0,187543,200237
125,1,200237,201600
125,0,201600,445997
125,1,445997,446897
125,0,446897,449492
125,1,449492,450392
125,0,450392,454830
125,1,454830,456823
125,0,456823,460173
125,1,460173,460800
125,0,460800,518400
125,1,518400,519197
125,0,519197,529260
125,1,529260,532025
125,0,532025,545207
125,1,545207,547200
125,0,547200,604980
125,1,604980,605880
125,0,605880,608690
125,1,608690,609595
125,0,609595,609842
125,1,609842,621083
125,0,621083,623487
125,1,623487,624387
125,0,624387,633600
125,1,633600,691200
125,0,691200,698705
125,1,698705,699606
125,0,699606,699903
125,1,699903,702714
125,0,702714,702893
125,1,702893,710485
125,0,710485,718768
125,1,718768,720000
125,0,720000,777600
125,1,777600,778293
125,0,778293,792105
125,1,792105,794848
125,0,794848,805213
125,1,805213,806400
125,0,806400,1036800
125,1,1036800,1050053
125,0,1050053,1054427
125,1,1054427,1055329
125,0,1055329,1056107
125,1,1056107,1057011
